ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS03210 5 6 3 0 10
PP4_RS03215 0 0 1 0 3
PP4_RS03220 60 55 52 0 64
PP4_RS03225 1866 1847 1876 0 1227
PP4_RS03230 390 391 448 0 288
PP4_RS03235 311 291 272 0 406
PP4_RS03240 28 33 27 0 30
PP4_RS03245 91 77 79 0 21
PP4_RS03250 227 225 213 0 216
PP4_RS03255 251 230 259 0 770
PP4_RS03260 5 5 4 0 0
PP4_RS03265 88 64 73 0 88
PP4_RS03270 416 439 467 0 849
PP4_RS03275 0 0 0 0 0
PP4_RS03280 15 10 6 0 13
PP4_RS03285 594 593 546 0 734
PP4_RS03290 76 71 75 0 150
PP4_RS03295 12 15 9 0 31
PP4_RS03300 8 7 11 0 1
PP4_RS03305 107 113 127 0 22
PP4_RS03310 72 76 77 0 358
PP4_RS03315 86 80 76 0 141
PP4_RS03320 19 12 12 0 105
PP4_RS03325 13 13 7 0 30
PP4_RS03330 41 31 35 0 111
PP4_RS03335 6 4 5 0 0
PP4_RS03340 92 89 82 0 257
PP4_RS03345 36 38 34 0 74
PP4_RS03350 27 27 42 0 12
PP4_RS03355 112 116 131 0 97
PP4_RS03360 98 80 101 0 40
PP4_RS03365 236 219 223 0 153
PP4_RS03370 98 110 94 0 30
PP4_RS03375 11 13 11 0 14
PP4_RS03380 37 55 44 0 61
PP4_RS03385 82 80 84 0 35
PP4_RS03390 329 338 325 0 163
PP4_RS03395 75 90 70 0 8
PP4_RS03400 18 23 18 0 40
PP4_RS03405 115 130 147 0 124
PP4_RS03410 62 66 57 0 106
PP4_RS03415 998 981 997 0 347
PP4_RS03420 575 573 616 0 243
PP4_RS03425 0 0 0 0 0
PP4_RS03430 0 0 0 0 0
PP4_RS03435 0 0 0 0 0
PP4_RS03440 53 53 42 0 9
PP4_RS03445 164 157 142 0 183
PP4_RS03450 107 108 96 0 87
PP4_RS03455 22 28 17 0 3
PP4_RS03460 23 30 29 0 16
PP4_RS03465 27 33 33 0 6
PP4_RS03470 0 0 0 0 0
PP4_RS03475 26 30 29 0 14
PP4_RS03480 2051 2000 1884 0 2142
PP4_RS03485 1010 1028 891 0 430
PP4_RS03490 16 32 26 0 86
PP4_RS03500 0 0 0 0 0
PP4_RS03505 0 0 0 0 0
PP4_RS03510 0 0 0 0 0
PP4_RS03515 0 0 0 0 0
PP4_RS03520 0 0 0 0 0
PP4_RS03525 0 0 0 0 0
PP4_RS03530 0 0 0 0 0
PP4_RS03535 0 0 0 0 0
PP4_RS03540 0 0 0 0 0
PP4_RS03545 6 7 11 0 4
PP4_RS03550 6 4 5 0 7
PP4_RS03555 12 17 18 0 11
PP4_RS03560 187 211 197 0 135
